,video_id,comments
10,c7Evvd05Ykk,"['100% правильно, раша сама для себя любимых не может что то толковое построить, посмотрите на постройки 22 км от москвы. 1905г.', 'Ермаку, татарову, портнову і решті зеленої млядоти не до вподоби цей відос', 'Ну Севастополь вони закатали асфальтом, це факт. Потім зробили багато парків, але жити стало погано. Таке враження, що це вітрина, не жива.', 'Ви краще на саму рашку подивиться😀\nЯк вони щось можуть відбудувати, коли свого нема!?', 'ну по крыму таки шось клепанули: дороги, пару электростанций кажись, но это скорее исключение, видимо деду понравился. правда отжимают парки под виллы, но то такое, у нас тоже встречается. единственное что остров дефицитный и 8-й год не отбивает и 30% заложенного бюджета, а в этом году вроде обещали 200лярдов бумажек закинуть. не думаю что мы его каким либо образом вернем, слишком раскошелился дед на крым (', 'Ага... віллу на озері Комо відбудують 😏', 'Подивіться на Україну: одне суцільне гімно.']"
11,CKpWIjY7K1s,"['- Ми на Patreon-i — https://www.patreon.com/itworksonmypc\n- Instagram — https://www.instagram.com/dimko1_official\n- Шит ай ноу Лайв. Podcast — https://shitiknow.live', 'Народ у нас самий крутий!!!🇺🇦🇺🇦🇺🇦🇺🇦', 'Давай 100 штук підписників!!!', 'Вогінь  🔥', '👍🏻 лови луцьк за україномовний контент! 🔵🟡', 'нюдси від Дімончіка 😆📱', 'завжди дивлюся з задоволенням!)', ""Українців ніхто не зламає. У важку хвилину ми вміємо об'єднуватися і боротися"", 'один вопрос. а где деньги государства?', 'сильно))))']"
12,1jDotcBRDfE,"['додатковий вектор атаки для identity theft...', 'Боти розмовляють між собою чи людина дійсно людина, чи такий же бот', 'Дімо, а ці сторізи якось в розвитку каналу допомогають, чи шкодять.\n Типу людям дає сторю, вони відкривають канал, нічого цікавого не бачать і валять чим погіршують метрики?\nбо з одного боку кажуть що шкодять, з іншого всі масово ломанулись викладати сторіси. Може я щось провтикав?', 'цей токін може бути використаний як ідентифікатор користувача?']"
13,CrWVS5dlOSk,"['Людина і так не красива і коли ще розмовляє погано то взагалі словарний запас шкультельгає!!!\nНе показуй свій мозок!', 'Не согласен', 'Цитати вєлікіх людей)', 'За це +п13дєц підписка', 'хехе', 'Саме так', 'Я би не відмовився від світу де це хня просто не існує.', 'Я прям дуже згоден)', 'Ахахха, і правда, нащо 🧐', '💯 % згоден✌️😎']"
14,IbsOLpwrjbg,"['Лайно повне, слухати не хочеться. Але если русский - за яйца и на сосну!', 'То я таки не дарма з японією пакт про напад підписався )', 'Нагадує фільм і сюжет ""Залізна людина"", там Старк постраждав від своєї ж зброї.', 'це ті самі мікросхеми які після пуску російської ракети через 20м завертає її (ракету) назад в пускову систему і яку накриває білим фосфорним вогнем ? тоді це хороша новина )', 'Zrada 😥', 'Пхахаха']"
15,ZdI_AQaEF_k,"['- Ми на Patreon-i — https://www.patreon.com/itworksonmypc\n- Instagram — https://www.instagram.com/dimko1_official\n- Шит ай ноу Лайв. Podcast — https://shitiknow.live', 'Хабі це сексизм!😅', 'Дякую за класний контент!', 'Дякую за новини, приємно слухати такі новини)', 'Коментар)', 'Дякую за працю. Як завжди, дуже круте відео', 'от Дмитро, заддосив dou 😆', 'Діма, дякую! Це так потрібно', 'Super!', 'крутяк, чесно кажучи дізнався про канал через випуск Доу))  але реально приємно дивитись 👍']"
16,yJ3INeQKYSE,"['наскільки симпатичний Дмитро настільки відстійні ці нові пнрсонажі,  геть з каналу,  я підписувався на Малєєва а це що?', '👍🏻💙💛', 'ЯКИЙ МУДРИЙ МУЩИНА', 'треба щоб всі моиваційні відео озвучував Ярема таким приємним, спокійним голосом)))', 'На жаль держава грабує на обміні валюти.']"
17,kdoOUpPsYi8,"[""Крута новина, але це нехай стосується усіх пов'язаних девайсів а не тільки компанії Apple продуктами якої я не користуюся)"", 'Якщо ти будеш продовжувати говорити оте ""рібяткі"", то нас в Євросоюз не пустять', 'Вони швидше перейдуть на безпровідну зарядку, а на решті девайсів уже помалу переходить на usb-s', ""Zroblyat' perehodnik Lighting to usb-C"", 'А нові макбуки з поверненням максейф?', 'Проблеми першого світу', 'Епол біситься, бо до 2025 вже викинуть всі зарядки в айфонах і буде тільки по безпроводу. А всі інші девайси вони вже і так на usb-c перевели', 'Давно пора, цих аппл давно пора притиснути до стінки. Бо вони мали то всьо, і глобальне потепління тим більше', ""А який це вже раз таку вимогу ставлять до Apple?\nНа скільки я пам'ятаю, таке вже було декілька разів.\nУсі попередні рази вони затягували судами, або просто не виконували постанови й платили штрафи (які здається були меншими за прибуток від продажу зарядок)."", 'Обожнюю,як найменша частина світу(Европа) може колихати одразу увесь світ від своїх рішень🥰🥰🥰']"
18,Y3hy_UanU7w,"['Западную Украину может защитить Польша', '😂😂😂', 'Не розумію навіщо короткі відео на ютюб каналі. Це ж тік ток формат. Уже декілька каналів це роблять. У мене пів стрічки в цих коротких відео, якщо ситуація не зміниться , то доведеться відписуватися, хоч контент каналу мені подобається (окрім коротких відео). Якщо у вас є спільнота, проведить опитування, я думаю що таких більшість, кому не подобаються короткі відео . Дякую за увагу.', '🤣🤣🤣🤣🤣']"
19,Q0cGHK0Z-qM,"['Брати Капранови гарні історичні відео знімають.', 'Дякую за контент )', 'НЕМАЄ навіщо шеймити білорусів? Щоб табличка СОРОМ була помітна на їх чолі ВСІМ, кому ще не дійшло. За всі вчинки є КАРМА, це їхня!', 'шелдон смішний', '💙💛', 'я живу на 19-му поверсі і як вона буде відноситися до прибирання на 19 поверсі?)', 'дякую за гарний настрій!', 'Шикарний випуск! Треба четверте крісло)', 'коментар заради коментара', 'Запросіть до себе або сходіть в гості до ""Закрутки"", там круті ведучі - Андрій Сеньків та Влад Крилевський)']"
20,VnlAYgoQrag,"['Їбашити рузку наволоч, нема свідків нема справи', 'Стукачи и фашисты .\nНе можешь победить не силой не словом? \n\nЗови полицию))))', '- больные', 'Зоебись логика!', 'Что это за говно вещает?', 'Шооооооооооо???', 'Та шо робити? Тихо загнобити за углом, з увєчіями челюсті, рук і очей, щоб в поліції воно не змігло ні описати, ні написати, ні опізнати...', 'Та пи*дити їх треба правильно, шоб поліції не жалілися😁. Тип є 4 стадії які треба пройти. 1.Звертаєшься на ви та спокійно говоришь. 2.Переходишь на ти. 3.Посилаєшь його за російським кораблем. 4.Пиздишь його. \nТактика працює)', 'облити краскою', 'Це будуть його останні слова які він мені скаже!!']"
21,qRwZAo63L_U,"[';-)', 'На росію і так піде, там с хавають !', 'Походу одна з фішок пропаганди не качество а калічество!тіпа з кожного туалета гавно лється круглосуточно', 'Вы сами себя своей пропагандой обманываете,думая,что россияне в дырку серут и с розинутым ртом смотрят зомбоящик. Считали себя умнее всех,вот и получили', 'а навіщо ім старатися,якщо іхні пустоголові путіноіди і так хавають,залюбки.', 'Та так і є )', 'Сильно!)', 'По факту!', 'Ну є ще пропаганда для розумних - харошиє русскіє, то там троха більше стараються', 'Немає в росії ніякої пропаганди']"
22,oUcu2XtJ9hI,"['Хороша думка, погоджуюсь.', 'Так!', 'Я також собі подумала, сказала країни Прибалтики, а потім думаю що це неповага до незалежності кожної з країн, це три різні самостійні країни кожна з них унікальна і кожна має право на свою увагу.', 'Одноголосно!', 'Слушно сказано,дякую', 'а це з якого ефіру? я це не бачив (', 'Чудово сказано!', 'ДО РЕЧІ! А і правда', 'Так 👍', 'Це геніально!']"
23,xZhRojijSnA,"['- Ми на Patreon-i — https://www.patreon.com/itworksonmypc\n- Instagram — https://www.instagram.com/dimko1_official\n- Шит ай ноу Лайв. Podcast — https://shitiknow.live', 'хтось мені віповість на питання чому цей хлоп досі не в лавах ЗСУ/НанцГвардії?', 'Дуже довольні.', ""суб'єктивні новини повернулись, ура!!!"", 'Вімкніть будь ласка  саби для інших', 'Чомусь не було сповіщення...добре, що сама зайшла)', 'Капчу давно треба було знищити. Це супернезручно. Як програміст я розумію навіщо вона, але блін, то таке незручне гавно що капец. Як на мене краще було б просто відрізняти ботів від юзерів за поведінкою. Це давним давно працює в онлайн іграх у вигляді різноманітних анти-бот захистів. Так воно не завжди працює ідеально, але зате не тратить час(який є нагадаю невідновним безцінним ресурсом) і нерви юзерів на кляті кліки по світлофорах. Чому цього не зробили у вебі досі - не розумію. Невже вебдев відстає від геймдеву аж настільки?', 'Контент то мед', 'Ми теж скучили) добре що ти повернувся!', 'Дайте лінку на пісню, яка грає на 54 секунді або хоча б назву скажіть. Дуже душевна пісня']"
24,ACwRGJH8pt8,"['Шось тебе вообше не поняти. Поясни нормально, закінчи речення. Ти ж не в туалет біжиш', '“Louis and the dog”', 'https://youtu.be/nABGXXdQD2w']"
25,dhDxT7PltRc,"['Дякую за цікаву розмову!', 'Круто !!!!! так тримати !!!!', 'Прийшла після хлопців з ХПЗП, Дмитре дякую👌', 'О, то масажист Діми - Паша Кордіяка?)', 'Доброго дня. Класне інтерв""ю. Дивлюся Діму перший раз, так само не знаю гостя програми, але дуже сподобалося. Підписка!!! За паління цигарок, це просто про мене! Під час перегляду, задонатив на фонд ""Повернись живим"". Тарас Чмут - красавчик. Класний діалог. Видно, що гість почувався комфортно. \nЗ. І. нехай мене вибачить моя вчителька з української мови, якщо я десь допустив помилку =) і де знаходиться цей клятий апостроф на клавіатурі?)))', 'Василь  такий крутий, дуже приємно було слухати вашу розмову. Діма це ваш формат продовжуйте 💛💙', 'клас, Вася дуже крутий!! хлопці, дякую за мій бадьорий ранок з вами))', 'Хлопці, ви круті! Респект!', 'Перший раз дивлюсь відео Діми - дуже круто! Органічна, жива, цікава, збалансована розмова. Підписалась) Окремо для мене відкрився Василь. Все ж таки амплуа у ""Воробушкє"" особисто мені заважало сприймати особистість, лише у стендапі стало цікаво спостерігати за його творчістю, а це інтерв\'ю просто закохало)', 'Щиро вдячний вам за вашу працю. Україна понад усе!']"
26,aRCnSLU0aCA,"['Хорошо, что у нас в Украине уже 30 лет у власти одни и те же лица: Коломойский, Ахметов, Пинчук, Порошенко... Не то, что в России xD', ""Would you put some please put some English credits I'm Ukrainian but I don't speak the language and I would love I'd love your enthusias you guys are rock stars you know my cousins my cousins in Ohio they use they come from Ukraine and they used to have a Ukrainian rock band back in the '80s it in Cleveland Ohio outside of Cleveland but can you guys put the English subtitles I love you guys I love this country I love America but I love you grade video grade in America"", 'В огромной банке паукам простору стало мало!\nТогда их часть – другую часть сожрала,\nВнутри «сильнейших» начались разборки.\nДеваться некуда: ни щелей нет, ни норки…\nХоть одного, они, казалось, круга,\nА с голодухи стали жрать друг друга.\n \nИ вот один остался паучище.\nОн в одиночестве по стенкам банки рыщет.\nЭх, кабы вгрызться бы ему в стекло бы!\nНо… задохнулся.\nОт тоски.\nОт злобы.']"
27,oKgVr10tdyI,"['Да, на щастя, та сама німецька бюрократія тепер гратиме за нас: адже поміняти чи скасувати рішення про передачу зброю Україні - так само складно і довго, а насправді - майже і неможливо. Тобто так, Німеччина довго ""запрягає"", але вже якщо почала ""їхати"", то вже буде ""їхати"" без зупинок. 😀', 'Вже не актуально)']"
28,xnoUDywP6jA,"['Лукашенко дивиться ваш стрім і потім йде плакати в душі', 'Мультиверси вже заманали.', 'Мені Бетмен сподобався, може бо у мене світліше все було. Патісон доволі добре зіграв. Хлопаки то любов', '4:18 ааа фімінізм, нам нада фімінізм\nнаші права ущімляют🤣🤣🤣🤣', 'Виводимо з тіньового бану❤', 'Ааа, нарешті хтось знає слово ""дрилювати"" )))', 'дякую за стрім, було якось незвично без Яреми 😅', 'путін вмер', 'Дівчину звати Ненсі', 'Про твіттер правда, то капець як важко зрозуміти, що там відбувається 😂']"
29,hkDpIOQFT7k,"['Зрозуміло чому Джо Роґан  тренується.', 'Якщо комік буде мати короткоствол, то глядач має очікувати що йому потрібно буде точно сміятися', 'Щойно Діма сказав що Вілл Сміт все правильно зробив, і це помилка.', 'Коміки можуть працювати лише онлайн, тобто перейти у вебкам індустрію)', 'В вас ""коміків"" ітак ""короткостволи"")', 'Шото мені не дуже подобається набивання єбала за висловлення, яке б воно не було.  Погані жарти - це голодний комік без глядачів, а не набите єбало. А хто тоді вирішує за які жарти можна бити єбало?', ""нууу, типу отримати в єбло треба бути готовим в будь якій професії. \nПросто в айті, як я розумію, за поганий код не б'ють))"", 'Якщо комік буде мати короткоствол, то він має очікувати що йому можуть прострелити коліно.', 'Шото он раскабанел', 'на підпільному є подкаст з Настею Зухвалой, де вони це обговорюють, там дуже добре вся ця культура кенселінгу висвітлена']"
30,NsMhuafMm9E,"['- Ми на Patreon-i — https://bit.ly/2nGqOL5\n- Instagram — https://bit.ly/3c5dZyp\n- Шит ай ноу Лайв. Podcast — https://shitiknow.live', 'Ютуб пес', '🇺🇦', 'Виходим в люди)', 'Тримайтесь! Я щ вами, ви дуже круті на справді, дуже шкода чути такі новини', 'Класна позиція щодо хейт-контенту 👍', 'треба жити!', 'дякую за акцент на україномовному контенті! Намагаюся себе оточувати лише таким! Знайшов вас через Тікток. Підписався! Чекаю на відео', 'Цей комент для того щоб клятий ютуб витягнув вас з того тіньового бану) Годнота', 'Діма молодець']"
31,nLRey56mgGQ,"['Звичайно Лукашенко стане президентом росії. Бо ми відведемо росію під картопельку :)', '«Что то на говяжьем»', 'Кадыров на это есть', 'Я б хотіла до такого дожити чисто по приколу =)', 'Гаагагаагагаагагаага....чекає']"
32,wPqHj875qs8,"['Амінь 😀', 'Навпаки їх треба хвалити що не пошкодували кубок. Не кожен з міг би віддати те що своїми зусиллями забрав собі.', 'Так це тягне на крилатий вислів👍🔥💯🌶️', 'То є так, то є так!', 'Фраза на всі випадки життя 😂', 'Щобільше мертвої русьні, щобільше миру😻🎉🌻🇺🇦', 'Однозначно!', 'Амінь!', 'Світу! Світу, ти маєш зрозуміти, все вище сказане - це база', 'Ідеально']"
33,dR1aHuKqUhg,"['✌️ Support us on Patreon: https://www.patreon.com/itworksonmypc\n📸 Instagram — https://www.instagram.com/dimko1_official/?hl=uk\n\n😂 Playlist UKRAINIAN MEMES: https://www.youtube.com/playlist?list=PLF_X79eBCCk4wTr7WQcv75JB0tW4Io94x', ""You're one of the funniest blokes in the media and your channel is one of the best on these platforms.... top job mate!!\nOh, and can we have some more videos done in English please mate?\nСлава Україні, героям слава!!!!🇧🇧🇬🇧✌✌"", ""Wait, they whacked your Meme no.7 Dima?!?!?\n\nMothafuckin YouTube. Im telling you man, that CEO is probably a commie. After that stunt of what happened between TheActMan and QuantumTV. \n\nSo watch yourself out there man, don't let some whack-ass excuse for a YouTube CEO try to take you down."", 'Your editing is ready good', '💪💪💪', 'I think your main point is wrong: Russians do not hate Ukrainians because of propaganda. Their so called propaganda is just an excuse for their hatred towards Ukrainians. They don\'t really believe in all that shit they talk about Ukrainians. They just say this shit to justify their aggression. They want other people to believe that their aggression has some reason, some logic, some justification, maybe not from the normal viewpoint, but from a so-called “alternative” to the ""western"" one. Yet, this is one big lie. This is just an excuse they invent for their wish of violence, murdering and thefts. In their culture there is a special term for this kind of excuse, *отмазка*.\nUnfortunately, this propaganda works for many people, especially those, who do not really know who the Russians are. They really believe that this is just Putin\'s war, that Russians are fooled by their government and do not really want the war. They do want war. They love war. Especially when the target of their aggression does not resist.', 'In the U.S we only see pro Ukraine propaganda', 'Ukraine = not ruzzia', ""Дмитре, вкотре помітив, що на прев'ю слово, яке несе основний посил закрите таймером відео. В цьому випадку не видно слово HATE. А воно імхо робить сік для клікбейтності"", 'You said thank you to us, and its appreciated. However, its us who should be thanking you for your channel.']"
